real_time,count
5.9,1
5.91,2
5.92,1
5.930000000000001,3
5.94,12
5.95,9
5.96,9
5.970000000000001,12
5.98,10
5.99,6
6,6
6.010000000000001,8
6.0200000000000005,5
6.03,6
6.04,5
6.050000000000001,1
6.0600000000000005,2
6.07,0
6.08,0
6.090000000000001,1
6.1000000000000005,0
6.11,0
6.12,0
6.130000000000001,0
6.140000000000001,0
6.15,0
6.16,0
6.17,0
6.180000000000001,0
6.19,0
6.2,0
6.21,0
6.220000000000001,0
6.23,0
6.24,0
6.25,0
6.260000000000001,0
6.2700000000000005,0
6.28,0
6.29,0
6.300000000000001,0
6.3100000000000005,0
6.32,0
6.33,1
